Experiment, Requests, Time

Nuxt 2 - 250, 50, 4.174s 
Nuxt 2 - 250, 100, 7.773s 
Nuxt 2 - 250, 200, 16.462s 
Nuxt 2 - 500, 50, 7.364s 
Nuxt 2 - 500, 100, 14.311s 
Nuxt 2 - 500, 200, 27.181s 
Nuxt 2 - 1000, 50, 11.340s 
Nuxt 2 - 1000, 100, 21.610s 
Nuxt 2 - 1000, 200, 45.126s 
Nuxt 3 - 250, 50, 5.670s 
Nuxt 3 - 250, 100, 7.503s 
Nuxt 3 - 250, 200, 13.015s 
Nuxt 3 - 500, 50, 6.204s 
Nuxt 3 - 500, 100, 10.854s 
Nuxt 3 - 500, 200, 19.681s 
Nuxt 3 - 1000, 50, 9.103s 
Nuxt 3 - 1000, 100, 18.084s 
Nuxt 3 - 1000, 200, 37.541s 
